DonorName,Does IATI have substantial data coverage of this donor in 2019?
Australia,TRUE
Belgium,TRUE
Canada,TRUE
Denmark,TRUE
EU Institutions,TRUE
Finland,TRUE
Germany,TRUE
Netherlands,TRUE
New Zealand,TRUE
Norway,TRUE
Sweden,TRUE
Switzerland,TRUE
United Kingdom,TRUE
United States,TRUE
Austria,FALSE
Azerbaijan,FALSE
Bulgaria,FALSE
Chinese Taipei,FALSE
Croatia,FALSE
Cyprus,FALSE
Czech Republic,FALSE
Estonia,FALSE
France,FALSE
Greece,FALSE
Hungary,FALSE
Iceland,FALSE
Ireland,FALSE
Israel,FALSE
Italy,FALSE
Japan,FALSE
Kazakhstan,FALSE
Korea,FALSE
Kuwait,FALSE
Latvia,FALSE
Liechtenstein,FALSE
Lithuania,FALSE
Luxembourg,FALSE
Malta,FALSE
Poland,FALSE
Portugal,FALSE
Qatar,FALSE
Romania,FALSE
Russia,FALSE
Saudi Arabia,FALSE
Slovak Republic,FALSE
Slovenia,FALSE
Spain,FALSE
Thailand,FALSE
Turkey,FALSE
United Arab Emirates,FALSE
